Durham_id,Sample_id,Well_id,Extraction,Replicate,Total_resin_g,Initial_g,After_E1g,7Li (STDR),Na,Mg,Al,29Si (STDR),P,S,35Cl (STDR),39K (STDR),Ca,48Ti (STDR),51V (STDR),52Cr (STDR),Fe,Mn,59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
29,27,52_4,1,1,16.16,,,0.8,268.1,79.3,202.1,128.0,17.5,4.4,380.3,"244,511.6",247.7,0.1,0.9,1.5,73.8,9.7,0.2,0.7,0.2,1.3,0.3,30.8,1.8,23.9,0.0,0.0,0.4,2.3,0.2,0.0
30,28,52_4,2,1,16.16,,,0.4,52.8,10.1,38.9,121.6,6.8,2.8,434.3,"242,844.4",49.4,0.2,1.0,1.2,27.3,1.6,0.0,0.5,0.0,0.7,0.4,32.1,0.5,26.5,0.0,0.0,0.2,1.0,0.2,0.0
31,31,86_2,1,1,79.31,,,0.4,30.0,5.4,12.2,117.4,8.8,2.6,384.5,"248,302.2",84.6,0.3,0.9,1.5,30.7,0.8,0.0,0.5,0.0,0.6,0.4,24.4,0.1,14.9,0.1,0.0,0.4,0.2,0.2,0.0
32,32,86_2,2,1,79.31,,,0.3,26.6,1.5,8.0,121.0,6.9,2.6,415.9,"243,175.3",22.8,0.2,1.0,1.3,25.6,0.4,0.0,0.4,0.1,0.6,0.4,28.5,0.0,20.6,0.0,0.0,0.3,0.1,0.2,0.0
Blank,ICP_blank,,,,,,,0.3,10.1,0.7,1.4,80.3,4.9,1.6,2.2,"1,124.8",2.1,0.2,0.1,0.9,10.6,0.2,0.0,0.5,0.1,0.2,0.0,12.8,0.0,7.3,0.1,0.0,0.1,0.0,0.0,0.0
33,33,86_2,1,2,79.31,,,0.4,29.4,5.9,11.0,120.5,9.5,2.8,390.8,"247,209.3",83.5,0.0,0.9,1.2,28.4,1.1,0.0,0.4,0.0,0.5,0.4,24.6,0.1,16.1,0.0,0.0,0.2,0.1,0.2,0.0
34,33,86_2,2,2,79.31,,,0.3,26.8,1.5,7.3,121.8,7.0,2.8,415.9,"240,704.6",22.7,0.3,0.9,1.3,21.7,0.5,0.0,0.5,0.0,0.9,0.4,27.9,0.0,21.5,0.0,0.0,0.3,0.1,0.2,0.0
35,33,86_3,1,1,81.57,,,0.8,242.6,63.5,238.9,121.8,7.4,3.9,382.5,"242,760.2",206.3,0.1,1.0,1.3,30.4,6.5,0.1,0.7,0.1,1.1,0.4,27.4,1.0,21.9,0.1,0.0,0.4,1.4,0.2,0.0
36,33,86_3,2,1,81.57,,,0.4,45.0,7.5,47.7,120.8,6.7,2.9,418.5,"245,147.9",37.3,0.2,1.0,1.3,25.1,1.1,0.0,0.5,0.0,0.8,0.4,28.3,0.2,24.4,0.1,0.0,0.2,0.5,0.2,0.0
37,33,86_3,1,2,81.57,,,0.8,239.8,52.4,217.0,121.0,6.6,3.6,385.3,"244,579.4",168.7,0.3,1.0,1.3,23.7,5.3,0.1,0.6,0.1,0.5,0.4,26.9,0.8,23.5,0.7,0.0,0.2,1.1,0.2,0.0
38,33,86_3,2,2,81.57,,,0.4,45.5,6.1,39.1,122.8,6.2,2.8,437.0,"245,819.4",30.1,0.0,1.1,1.4,20.1,0.9,0.0,0.5,0.0,0.6,0.4,28.6,0.2,26.7,0.4,0.0,0.2,0.4,0.2,0.0
39,33,86_4,1,1,87.77,,,1.0,312.8,45.7,266.8,123.6,7.2,3.8,381.0,"246,143.0",153.4,0.2,1.0,1.5,25.2,3.2,0.2,0.7,-0.4,1.4,0.4,26.2,1.2,24.8,0.3,0.0,0.3,1.6,0.3,0.0
40,33,86_4,2,1,87.77,,,0.4,48.2,4.7,41.6,123.7,7.2,2.8,425.4,"246,891.5",26.5,0.2,1.1,1.2,22.7,0.6,0.0,0.5,0.0,2.8,0.4,27.8,0.3,27.4,0.2,0.0,0.2,0.6,0.3,0.0
41,33,86_4,1,2,87.77,,,1.0,250.3,35.4,203.7,123.0,8.2,3.4,379.8,"247,346.7",165.6,0.2,0.9,1.5,24.5,2.8,0.1,0.8,0.1,2.2,0.4,26.3,0.9,25.7,1.9,0.0,0.6,1.2,0.2,0.0
42,33,86_4,2,2,87.77,,,0.4,50.3,4.5,33.7,120.0,7.6,2.9,430.4,"249,779.3",38.9,0.2,1.0,1.5,20.9,0.7,0.0,1.1,0.0,2.1,0.4,27.6,0.2,28.2,0.5,0.0,0.5,0.4,0.3,0.0
Blank,ICP_blank,,,,,,,0.2,11.3,1.1,1.8,88.5,6.2,1.7,2.3,"1,102.4",4.7,0.0,0.1,1.0,12.7,0.2,0.0,0.5,0.1,0.6,0.0,13.1,0.0,10.4,0.1,0.0,0.2,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
